W,Название (рус.),Title (en),Titre (fr),Год,"Размер, см",Статус,Где хранится,Location,Страна,Country,Последняя известная продажа,Тип изображения,Изображение на сайте,Источник изображения,Wikidata,Ссылка на карточку
914,"Берега Сены в Жёфоссе, ясная погода",Banks of the Seine at Jeufosse: Clear Weather,,1884,60 × 81,частная коллекция,,,,,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w914.webp,https://commons.wikimedia.org/wiki/File:Monet_w914.jpg,,https://monet.1vasiliadi.com/#w914
915,Лодка на Сене в Жёфоссе,Rowboat on the Seine at Jeufosse,,1884,60 × 73,частная коллекция,,,,,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w915.webp,https://commons.wikimedia.org/wiki/File:Monet_w915.jpg,,https://monet.1vasiliadi.com/#w915
916,Осень в Жёфоссе,Autumn at Jeufosse,Automne à Jeufosse,1884,60 × 73,музей,"Собрание Хассо Платтнера, Музей Барберини, Потсдам","Hasso Plattner Collection, Museum Barberini, Potsdam",Германия,Germany,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w916.webp,https://commons.wikimedia.org/wiki/File:MB-Mon-17_Monet_Herbst-in-Jeufosse_1.jpg,https://www.wikidata.org/wiki/Q108479172,https://monet.1vasiliadi.com/#w916
917,"Рукав Сены у Жёфосса, осень","Arm of the Jeufosse, Autumn",,1884,610 × 73,частная коллекция,,,,,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w917.webp,https://commons.wikimedia.org/wiki/File:Monet_w917.jpg,,https://monet.1vasiliadi.com/#w917
918,Крестьянский дом в Живерни,Peasants House at Giverny,Maisons de paysans à Giverny,1884,65 × 81,частная коллекция,,,США,United States,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w918.webp,https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996%2C_918.png,,https://monet.1vasiliadi.com/#w918
919,Красные и розовые маки,Red and Pink Poppies,,1884,119.5 × 37,частная коллекция,,,,,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w919.webp,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_Red_and_Pink_Poppies_(11538159396).jpg,,https://monet.1vasiliadi.com/#w919
920,Белый мак,White Poppy,,1883,128.5 × 37,частная коллекция,,,Япония,Japan,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w920.webp,https://commons.wikimedia.org/wiki/File:Monet_w920.jpg,,https://monet.1vasiliadi.com/#w920
921,Анемоны,Anemones,,1885,16 × 40,частная коллекция,,,,,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w921.webp,https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996%2C_921.png,,https://monet.1vasiliadi.com/#w921
922,Нарциссы,Daffodils,,1882–85,16 × 40,частная коллекция,,,,,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w922.webp,https://commons.wikimedia.org/wiki/File:Monet_w922.jpg,,https://monet.1vasiliadi.com/#w922
923,Ветка лимонов,Branch of Lemons,Branche de citronnier,1884,50.5 × 37,частная коллекция,,,,,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w923.webp,https://commons.wikimedia.org/wiki/File:Branche_de_citronnier_(1884)_Claude_Monet_(W_923).jpg,,https://monet.1vasiliadi.com/#w923
924,Ветка апельсинов,Branch of Oranges,Oranges sur une branche,1882–85,50.5 × 37,музей,"Музей изящных искусств, Хьюстон","Museum of Fine Arts, Houston",США,United States,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w924.webp,https://commons.wikimedia.org/wiki/File:Monet_w924.jpg,,https://monet.1vasiliadi.com/#w924
925,Ваза с хризантемами,Vase of Chrysanthemums,,1882–85,,частная коллекция,,,,,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w925.webp,https://commons.wikimedia.org/wiki/File:Monet_w925.jpg,,https://monet.1vasiliadi.com/#w925
926,Подсолнухи,Sunflowers,,1882–85,128.5 × 37,частная коллекция,,,,,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w926.webp,https://commons.wikimedia.org/wiki/File:Monet_w926.jpg,,https://monet.1vasiliadi.com/#w926
927,Хризантемы,Chrysanthemums,,1883,16 × 40,частная коллекция,,,Франция,France,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w927.webp,https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996%2C_927.png,,https://monet.1vasiliadi.com/#w927
928,Нарциссы,Daffodils,,1885,16 × 40,частная коллекция,,,Франция,France,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w928.webp,https://commons.wikimedia.org/wiki/File:Monet_w928.jpg,,https://monet.1vasiliadi.com/#w928
929,Белые азалии в горшке,White Azaleas in a Pot,,1885,50.5 × 37,частная коллекция,,,Франция,France,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w929.webp,https://commons.wikimedia.org/wiki/File:Monet_w929.jpg,,https://monet.1vasiliadi.com/#w929
930,Натюрморт с анемонами,Still Life with Anemones,,1885,50.5 × 37,частная коллекция,,,,,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w930.webp,https://commons.wikimedia.org/wiki/File:Monet_w930.jpg,,https://monet.1vasiliadi.com/#w930
931,Ваза с георгинами,Vase of Dahlias,,1883,128.5 × 37,частная коллекция,,,США,United States,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w931.webp,https://commons.wikimedia.org/wiki/File:Monet_-_vase-of-dahlias.jpg,,https://monet.1vasiliadi.com/#w931
932,Георгины,Dahlias,,1883,128.5 × 37,частная коллекция,,,,,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w932.webp,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_Dahlias_(16035439250).jpg,,https://monet.1vasiliadi.com/#w932
933,Жёлтые маргаритки,Yellow Daisies,,1883,16 × 40,частная коллекция,,,Франция,France,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w933.webp,https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996%2C_933.png,,https://monet.1vasiliadi.com/#w933
934,Белые маргаритки,White Daisies,,1883,16 × 40,частная коллекция,,,Франция,France,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w934.webp,https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996%2C_934.png,,https://monet.1vasiliadi.com/#w934
935,Персики,Peaches,,1883,50.5 × 37,частная коллекция,,,,,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w935.webp,https://commons.wikimedia.org/wiki/File:Monet_w935.jpg,,https://monet.1vasiliadi.com/#w935
936,Корзина с яблоками,Basket of Apples,,1885,50.5 × 37,частная коллекция,,,,,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w936.webp,https://commons.wikimedia.org/wiki/File:Monet_w936.jpg,,https://monet.1vasiliadi.com/#w936
937,Георгины,Dahlias,,1883,128.5 × 37,частная коллекция,,,,,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w937.webp,https://commons.wikimedia.org/wiki/File:Monet_-_dahlias.jpg,,https://monet.1vasiliadi.com/#w937
938,Гладиолусы,Gladioli,,1882–85,128.5 × 37,частная коллекция,,,,,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w938.webp,https://commons.wikimedia.org/wiki/File:Monet_w938.jpg,,https://monet.1vasiliadi.com/#w938
939,Анемоны,Anemonies,,1885,16 × 40,частная коллекция,,,,,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w939.webp,https://commons.wikimedia.org/wiki/File:Monet_w939.jpg,,https://monet.1vasiliadi.com/#w939
940,Жёлтые маргаритки,Yellow Daisies,,1885,16 × 40,частная коллекция,,,,,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w940.webp,https://commons.wikimedia.org/wiki/File:Monet_w940.jpg,,https://monet.1vasiliadi.com/#w940
941,Три горшка с тюльпанами,Three Pots of Tulips,,1885,50.5 × 37,частная коллекция,,,,,"Sotheby's, London, 1996",скан из каталога,https://monet.1vasiliadi.com/img/1600/w941.webp,https://commons.wikimedia.org/wiki/File:Monet_w941.jpg,,https://monet.1vasiliadi.com/#w941
942,Ваза с тюльпанами,Vase of Tulips,,1885,50.5 × 37,частная коллекция,,,Франция,France,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w942.webp,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_Vase_of_Tulips_(14300279725).jpg,,https://monet.1vasiliadi.com/#w942
943,Красные азалии в горшке,Red Azalias in a Pot,,1883,127 × 37,частная коллекция,,,Япония,Japan,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w943.webp,https://commons.wikimedia.org/wiki/File:Monet_-_red-azaleas-in-a-pot.jpg,,https://monet.1vasiliadi.com/#w943
944,Кобеи,Cobeas,,1883,119.5 × 37,частная коллекция,,,,,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w944.webp,https://commons.wikimedia.org/wiki/File:Monet_-_cobeas.jpg,,https://monet.1vasiliadi.com/#w944
945,Ветка белых и розовых азалий,Branch of White and Pink Azaleas,,1885,16 × 40,частная коллекция,,,,,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w945.webp,https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996%2C_945.png,,https://monet.1vasiliadi.com/#w945
946,Ветка белых и розовых азалий,Branch of White and Pink Azaleas,,1885,16 × 40,частная коллекция,,,Франция,France,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w946.webp,https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996%2C_946.png,,https://monet.1vasiliadi.com/#w946
947,Ваза с хризантемами,Vase of Chrysanthemums,Chrysanthèmes,1883,50.5 × 37,частная коллекция,,,,,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w947.webp,https://commons.wikimedia.org/wiki/File:Monet_w947.jpg,https://www.wikidata.org/wiki/Q96406174,https://monet.1vasiliadi.com/#w947
948,Горшок с белыми азалиями,Pot of White Azaleas,,1885,50.5 × 37,частная коллекция,,,,,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w948.webp,https://commons.wikimedia.org/wiki/File:Monet_w948.jpg,,https://monet.1vasiliadi.com/#w948
949,Красные лилии,Red Lilies,,1883,128 × 37,частная коллекция,,,Франция,France,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w949.webp,https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996%2C_949-954.png,,https://monet.1vasiliadi.com/#w949
950,Восточная лилия,Oriental Lily,,1883,128 × 37,частная коллекция,,,Франция,France,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w950.webp,https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996%2C_950.png,,https://monet.1vasiliadi.com/#w950
951,Персики,Peaches,,1882,16 × 40,частная коллекция,,,Швейцария,Switzerland,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w951.webp,https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996%2C_951.png,,https://monet.1vasiliadi.com/#w951
952,Персики,Peaches,,1885,16 × 40,частная коллекция,,,Франция,France,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w952.webp,https://commons.wikimedia.org/wiki/File:2022-06-24_at_13-35-16_P%C3%AAches_(C_Monet_-_W_952).png,,https://monet.1vasiliadi.com/#w952
953,Морозники,Christmas Roses,,1883,50.5 × 37,частная коллекция,,,Франция,France,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w953.webp,https://commons.wikimedia.org/wiki/File:Monet_w953.jpg,,https://monet.1vasiliadi.com/#w953
954,"Корзина с виноградом, айвой и грушами","Basket of Grapes, Quinces and Pears",,1882–85,50.5 × 37,музей,Художественный музей Колумбуса,Columbus Museum of Art,США,United States,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w954.webp,https://commons.wikimedia.org/wiki/File:Basket_of_Grapes_by_Claude_Monet%2C_Columbus_Museum_of_Art_.JPG,https://www.wikidata.org/wiki/Q50532761,https://monet.1vasiliadi.com/#w954
955,Сливы и абрикосы,Plums and Apricots,,1885,19 × 38,частная коллекция,,,,,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w955.webp,https://commons.wikimedia.org/wiki/File:Monet_w955.jpg,,https://monet.1vasiliadi.com/#w955
956,Ваза с тюльпанами,Vase of Tulips,Tulipes dans un vase,1885,52 × 38,частная коллекция,,,,,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w956.webp,https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996%2C_956.png,,https://monet.1vasiliadi.com/#w956
957,Ваза с тюльпанами,Vase of Tulips,Tulipes en pot,1885,52 × 38,частная коллекция,,,Франция,France,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w957.webp,https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996%2C_957.png,,https://monet.1vasiliadi.com/#w957
958,Горшки с тюльпанами,Pots of Tulips,Pots de tulipes,1885,51 × 38,частная коллекция,,,,,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w958.webp,https://commons.wikimedia.org/wiki/File:Monet_pots_of_tulips_w958.jpg,,https://monet.1vasiliadi.com/#w958
